,time,thread,thread_n,processing_unit,total_frames,fps_mean,fps_max,fps_min,label_count_mean,overall_time
0,539.5124127864838,0.0,5,cpu,341.0,4.136687880263838,5.649717514124294,0.017331923670208155,2.1524926686217007,599.7044816017151
1,568.563066482544,1.0,5,cpu,341.0,4.018792766739187,5.617977528089888,0.03423367909349218,2.1524926686217007,599.7044816017151
2,508.3274872303009,2.0,5,cpu,341.0,4.238653139204628,5.555555555555555,0.9940357852882704,2.1524926686217007,599.7044816017151
3,479.30088543891907,3.0,5,cpu,341.0,4.152817624927514,5.6818181818181825,0.9643201542912248,2.1524926686217007,599.7044816017151
4,599.6825499534607,4.0,5,cpu,341.0,3.9929827970188363,14.925373134328357,0.01711918375731845,2.1524926686217007,599.7044816017151
0,392.4191572666168,0.0,5,cuda,341.0,70.02336639972053,83.33333333333333,0.7662835249042146,2.1524926686217007,511.2638375759125
1,481.5941915512085,1.0,5,cuda,341.0,65.84875538703596,83.33333333333333,0.8710801393728224,2.1524926686217007,511.2638375759125
2,511.2618420124054,2.0,5,cuda,341.0,66.83499672005705,83.33333333333333,0.7434944237918216,2.1524926686217007,511.2638375759125
3,422.43156147003174,3.0,5,cuda,341.0,70.72018796418297,83.33333333333333,0.7147962830593281,2.1524926686217007,511.2638375759125
4,451.6280767917633,4.0,5,cuda,341.0,69.46772690692218,83.33333333333333,0.034425778022583314,2.1524926686217007,511.2638375759125
